"Type","AGB","Mean_AGB_Carbon_Secure","Low_AGB_Carbon_Secure","Hi_AGB_Carbon_Secure","Mean_AGB_Carbon_Restor","Low_AGB_Carbon_Restor","Hi_AGB_Carbon_Restor"
"Estuary_1207",7165.15496465943,1173.87266964435,1167.20441816266,1180.54092112605,1120.48160158925,726.822052685595,1776.81486713918
"Estuary_1217",34445.3612010989,4660.45737050868,4633.55728961392,4687.35745140345,6369.2917396952,4170.20156065252,9530.96015118701
"Estuary_1219",768.88160386888,239.268266307957,238.997943647298,239.538588968616,6.93531206689731,0,76.3746225697038
"Estuary_1223",2321.13446913859,177.961379748856,175.247005370032,180.67575412768,565.289088614013,412.34589498831,786.470929732255
"Estuary_1227",11569.0030136179,1565.28610774251,1561.6606637418,1568.91155174321,2139.22434724809,1405.49459736762,3190.12015521119
"Estuary_1236",31697.6695627825,9256.62314927118,9246.93436256226,9266.31193598012,893.287621427405,420.050015207875,3756.34502235398
"Estuary_1240",91043.8948284039,27320.4439197868,27300.9416549032,27339.9461846704,1832.72164321638,700.531965486417,10052.0513354379
"Estuary_1243",1385.43372772264,107.768403494084,104.979621127208,110.557185860961,335.861330459983,241.957448203391,472.752538649662
"Estuary_1244",0,0,0,0,0,0,0
"Estuary_125",4076.2990545158,665.661372142386,661.109627666393,670.213116618379,639.610348104118,414.49841972396,1014.18031647801
"Estuary_1251",68391.7580621832,9253.40486581338,9246.51912814129,9260.29060348547,12646.3199832783,8321.86721532716,18829.2575604205
"Estuary_1253",26796.7977676376,4947.02772389711,4908.51795145571,4985.53749633851,3633.57488927812,2401.11117523561,6097.74685580479
"Estuary_1258",42361.9929546796,12711.9831047436,12697.7022110375,12726.2639984498,852.750659274295,325.818295921737,4679.05306604005
"Estuary_1264",11403.4241797668,2105.21630434496,2088.52424238364,2121.90836630627,1546.27415225818,1021.64827504616,2595.27885979245
"Estuary_1268",38552.2350378627,11867.8251744361,11818.8896137448,11916.7607351275,476.986007037892,89.1082532042645,3970.70309403326
"Estuary_1281",11030.1644470204,2036.30783766461,2018.14908789704,2054.46658743218,1495.66111991578,987.222696578715,2512.79168656763
"Estuary_1283",13739.5616333616,4122.96644156312,4113.5725530764,4132.36033004983,276.578589055609,105.552735220766,1519.3408901982
"Estuary_1284",119243.472002011,16133.6417618721,16102.8696888343,16164.41383491,22049.3104078919,14492.5827199508,32867.6414643171
"Estuary_1288",28811.094553564,7216.25150327598,7198.9644220943,7233.53858445766,2009.34908372075,1208.27216405058,4619.14889117416
"Estuary_1293",12686.7959933941,3738.58916031541,3726.33486421741,3750.84345641341,323.849784729302,144.504323751669,1473.01122509963
"Estuary_1297",1149.61366505125,327.042989577742,325.658350359049,328.427628796434,41.0748021083195,21.1675059507643,145.382883770555
"Estuary_130",863.848046546363,141.066754008036,138.582825662474,143.550682353599,135.546028976575,86.8878017111,217.223854398098
"Estuary_1308",249057.311005704,73205.042284272,73118.0506551145,73292.0339134295,6545.59927286439,2972.76478774424,29045.0428076568
"Estuary_1310",93787.246307036,29185.6531782865,29131.4130384625,29239.8933181106,845.960961689466,0,9322.86453620918
"Estuary_1314",13508.7866251547,4203.79930988188,4189.07575834349,4218.52286142028,121.849255358895,0,1345.03627465574
"Estuary_1315",103455.909299938,23610.4597164527,23586.090906974,23634.8285259315,9517.15700048029,5936.62500202573,18868.3343108476
"Estuary_1321",16452.1483318895,5061.36549937846,5038.88695706798,5083.84404168893,206.776917975875,40.2364171265239,1698.26970587785
"Estuary_1331",45525.4285813029,13952.4666827682,13923.3025176455,13981.6308478908,625.230803250808,148.252768174052,4741.51474665284
"Estuary_1338",1302.68120781748,370.58776319641,369.398195782692,371.777330610129,46.5437863588235,24.010557379569,164.572209234324
"Estuary_1340",0,0,0,0,0,0,0
"Estuary_1348",26869.1511231854,8361.41113802406,8334.73305931984,8388.08921672828,242.359743131132,0,2674.46322852206
"Estuary_1351",47336.3480004071,14730.5981342467,14688.4069874966,14772.7892809968,426.973858963672,0,4710.16469828882
"Estuary_1352",12404.6331255075,3860.19778232668,3849.58883615345,3870.80672849991,111.889790792078,0,1234.17026126084
"Estuary_1356",18987.313926565,5908.66222080778,5898.9232718816,5918.40116973395,171.265571617617,0,1887.02645991517
"Estuary_1367",1248.29214810313,168.893927638353,168.073521901777,169.71433337493,230.821701105749,151.266169711599,345.08581119569
"Estuary_1373",10451.6833316255,3252.45933596854,3246.17000101145,3258.74867092562,94.2741836512621,0,1039.02131536759
"Estuary_1382",5838.92770648532,1817.01591298117,1810.93890462916,1823.09292133317,52.6671279124976,0,581.276003903331
"Estuary_1402",9331.97653799826,2904.01777885968,2896.33152813758,2911.70402958178,84.1744283727444,0,928.36940073622
"Estuary_141",3763.43057632167,614.569816368507,611.237265677628,617.902367059386,590.518288475455,383.229755092327,935.022610925148
"Estuary_1419",27318.1570422662,7884.16008288279,7872.7034096642,7895.6167561014,863.386983621264,426.517381283198,3332.32000141689
"Estuary_1425",26477.0458512151,6841.41682090794,6828.25618727654,6854.57745453933,1636.79803110965,965.967115655103,4032.77039480791
